Accession	Description	Extended.Description	Organism	No..Samples	Platform	GEO.SRA	FTP	SampleType	Disease	Normal_samples	COPD_samples	NonCOPD_samples	Additional_treatment	Notes
GSE69557	CD34+DNAMbrightCXCR4+ CLP mobilized in chronic inflammation	(Submitter supplied) During the course of many chronic inflammatory disorders, a persistent Natural Killer (NK) cell derangement and activation is observed. While increased cell turnover is expected in these cases, little is known about whether and how NK cell homeostatic balance and numbers are maintained by CD34+ progenitor cells. Accordingly, we studied peripheral blood progenitor cells in patients with chronic inflammatory disorders including HIV-1, HCV, TB, COPD and PAPA. more..	Homo sapiens	4	GPL6244	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69557/	BLOOD	COPD	NORMAL	NA	4	NO	
GSE53543	Gene expression data from uninfected and rhinovirus-infected peripheral blood mononuclear cells from 98 individuals	(Submitter supplied) Rhinovirus (RV) is the most prevalent human respiratory virus. Each year, RV infects billions of people and is responsible for at least half of all common colds, the most common illness of humans. RV infection also affects the morbidity of a range of respiratory illnesses, such as bronchiolitis, pneumonia, asthma, chronic obstructive pulmonary disease, and cystic fibrosis. Despite its biological importance and public health significance, little is known about the genetic architecture of response to RV. more..	Homo sapiens	196	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53543/	BLOOD	COPD_ASTHA_PNEUMONIA_BRONQUIOLITIS	CONTROL	NA	196	YES: Rhinovirus	
GSE60399	Expression analysis of stable chronic obstructive pulmonary disease and acute exacerbation of chronic obstructive pulmonary disease	(Submitter supplied) Investigation of whole genome gene expression level changes of the dynamic gene profiling of peripheral blood mononuclear cells (PBMCs) from patients with AECOPD) on day1, 3 and 10, compared to the normal people and stable COPD patients	Homo sapiens	5	GPL18451	CALLS, PAIR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60399/	BLOOD	COPD	NORMAL	4	1	NO	
GSE55962	Systemic inflammatory response to smoking in chronic obstructive pulmonary disease: evidence of a gender effect	(Submitter supplied) We analyzed total leukocyte gene expression using Affymetrix microarrays from healthy smokers, COPD patients and non-smoking control subjects before and after exposure to acute cigarette smoke (smoking two cigarettes in 30 minutes)	Homo sapiens	106	GPL13667	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55962/	BLOOD	COPD	CONTROL	24	82	NO	
GSE54837	Altered gene expression in blood and sputum from COPD patients with frequent exacerbations	(Submitter supplied) Investigation of gene expression profiles among patients with COPD frequent exacerbations and to find gene targets as predictors of exacerbations	Homo sapiens	226	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54837/	BLOOD	COPD	NA	226	NA	NO	
GSE42057	Peripheral blood mononuclear cell gene expression in chronic obstructive pulmonary disease	(Submitter supplied) Expression data were generated on 136 subjects from the COPDGene® study using Affymetrix microarrays. Multiple linear regression with adjustment for covariates (gender, age, body mass index, family history, smoking status, pack years) was used to identify candidate genes and Ingenuity Pathway Analysis was used to identify candidate pathways. Candidate genes identified included those that play a role in the immune system, inflammatory responses, and sphingolipid metabolism. more..	Homo sapiens	136	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42057/	BLOOD	COPD	NA	136	NA	NO	
GSE34562	IL-6R identifies early differentiated human effector memory CD8+ T cells that potently expand and produce IL-2 and IL-13	(Submitter supplied) We found a unique subset of effector memory (EM) CD8+ T cells that expressed high levels of IL-6 receptor in human peripheral blood.  These cells which also expressed high levels of IL-7Ra (referred to as IL-6R high IL-7Rahigh cells) had the a distinct gene expression profile and cellular characteristics compared to other EM CD8+ T cells.  IL-6R high IL-7Ra high cells were early differentiated EM CD8+ T cells with decreased expression of T-bet, KLRG1, perforin and granzyme B. more..	Homo sapiens	6	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34562/	BLOOD	COPD_ASTHMA	NORMAL	NA	6	NO	
GSE16972	COPD-Specific Gene Expression Signatures of Alveolar Macrophages as well as Peripheral Blood Monocytes Overlap and Correlate with Lung Function	(Submitter supplied) Rationale: Chronic Obstructive Pulmonary Disease (COPD) is considered a chronic inflammatory disease characterized by progressive airflow limitation and also has significant extrapulmonary (systemic) effects that lead to comorbid conditions. Very little is known about the pathomechanism of the disease.  Objectives: Among inflammatory cell types, alveolar macrophages appear to have a key role in initiating and/or sustaining disease progression. more..	Homo sapiens	12	GPL96	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16972/	BLOOD	COPD	CONTROL	6	6	YES: CD14+ magnetic beads	
GSE13255	Gene Expression Profiles in Peripheral Blood Mononuclear Cells Can Distinguish Patients with NonSmall Cell Lung Cancer.	(Submitter supplied) We report a 29-gene diagnostic signature, which distinguishes individuals with NSCLC from controls with non-malignant lung disease with 91% Sensitivity, 79% Specificity and a ROC AUC of 92%.  Accuracy on an independent set of 18 NSCLC samples from the same location was 79%. Samples from an independent location including 12 stage 1 NSCLC and 15 controls, achieved an accuracy of 74%.  A study of 18 paired samples taken pre and post surgery shows that the PBMC associated “cancer” signature is significantly reduced after tumor removal, supporting the hypothesis that the signature detected in pre-surgery samples is a response to the presence of the tumor	Homo sapiens	291	GPL6102	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13255/	BLOOD	CANCER	CONTROL	38	253	NO	
GSE148877	Samples from stable COPD subjects before and after treatment with nemiralisib	(Submitter supplied) To study the effects of treatment with an inhaled PI3Kδ inhibitor during recovery from an exacerbation of Chronic Obstructive Pulmonary Disease (COPD) due to corrective effects on neutrophils that display dysregulated migration characteristics. We aimed to develop novel induced sputum endpoints to demonstrate changes in neutrophil phenotype and proof of mechanism of action in the lung	Homo sapiens	219	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148877/	BLOOD_SPUTUM	COPD	0	28	0	nemiralisib	NA
GSE148871	Samples from exacerbating COPD subjects before and after treatment with nemiralisib	(Submitter supplied) To study the effects of treatment with an inhaled PI3Kδ inhibitor during recovery from an exacerbation of Chronic Obstructive Pulmonary Disease (COPD) due to corrective effects on neutrophils that display dysregulated migration characteristics. We aimed to develop novel induced sputum endpoints to demonstrate changes in neutrophil phenotype and proof of mechanism of action in the lung	Homo sapiens	304	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148871/	BLOOD_SPUTUM	COPD	0	28	0	nemiralisib	NA
GSE133513	Sputum and blood transcriptomics characterization of the PDE4 inhibitor CHF6001 in COPD	(Submitter supplied) The aim of the present study was to characterize the gene expression profile of the phosphodiesterase-4 inhibitor CHF6001 on top of inhaled triple therapy in sputum cells and whole blood of chronic bronchitis patients.  Samples for analyses were collected from a multicenter, three-period, three-way, placebo-controlled, double-blind, complete block crossover study. Eligible patients underwent three, 32-day treatment periods during which they received CHF6001 800 or 1600 µg twice daily (total daily doses of 1600 or 3200 µg) or matching placebo, all via multi-dose dry-powder inhaler (NEXThaler). more..	Homo sapiens	495	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133513/	BLOOD_SPUTUM	BRONCHITIS_COPD	CONTROL	495	0	Yes: inhaled PDE4-Inhibition CHF6001 800 or 1600 µg twice daily on top of triple therapy or placibo	54 patients before and after during 32 days of treatment
GSE119314	Azithromycin treatment modifies airway and blood gene expression networks in neutrophilic COPD	(Submitter supplied) Long-term, low dose azithromycin reduces exacerbation frequency in COPD yet the mechanism remains unclear. This study characterises changes to gene expression in  patients with neutrophilic COPD in response to long term low dose azithromycin therapy. Patients with neutrophilic COPD (>61% or >162x10^4/mL sputum neutrophils) were randomised to 12 weeks of either azithromycin or placebo treatment. RNA was extracted from sputum and blood collected before (pre) and after (post) treatment	Homo sapiens	92	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119314/	BLOOD_SPUTUM	COPD	NA	92	NA	Yes: azithromycin	
GSE77344	Gene expression in chronic obstructive pulmonary disease (COPD) patients	(Submitter supplied) Measuring genome-wide changes in transcript abundance in circulating peripheral whole blood cells is a useful way to study disease pathobiology and may help elucidate biomarkers and molecular mechanisms of disease. The sensitivity and interpretability of analyses carried out in this complex tissue, however, are significantly affected by its heterogeneity. It is therefore desirable to quantify this heterogeneity, either to account for it or to better model interactions that may be present between the abundance of certain transcripts, some cell types and some indication. more..	Homo sapiens	172	GPL11532	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77344/	BLOOD_TISSUE	COPD	NA	172	NA	NO	
GSE76705	Complex Disease Subtypes Identified by Network-Based Clustering of Gene Expression Data:  Application to COPD	(Submitter supplied) One of the most common smoking-related diseases, chronic obstructive pulmonary disease (COPD), results from a dysregulated, multi-tissue inflammatory response to cigarette smoke. We hypothesized that systemic inflammatory signals in genome-wide blood gene expression can identify clinically important COPD-related disease subtypes, and we leveraged pre-existing gene interaction networks to guide unsupervised clustering of blood microarray expression data. more..	Homo sapiens	229	GPL570	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76705/	BLOOD_TISSUE	COPD	NORMAL	229	NA	NO	
GSE30027	Human lung CD8+ T cells compared with paired non-naive peripheral blood CD8+ T cells	(Submitter supplied) It is unknown whether human lung T cells recirculate or belong to a distinct tissue-specific population. This issue is important for understanding their role in protection against viral infection and their contribution to pathophysiology of lung diseases such as chronic obstructive pulmonary disease. By comparing transcriptional profiles of blood and lung CD8+ T cells, we aimed to reveal specific traits of lung CD8+ T cells	Homo sapiens	12	GPL6947	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30027/	BLOOD_TISSUE	COPD	CONTROL	NA	12	NO	
GSE165371	A transcriptomic atlas of mouse cerebellar cortex reveals novel cell types	(Submitter supplied) The cerebellar cortex is a well-studied brain structure with diverse roles in motor learning, coordination, cognition, and autonomic regulation.  Nonetheless, a complete inventory of cerebellar cell types is presently lacking.  We used high-throughput transcriptional profiling to profile more than 600,000 nuclei and molecularly define cell types across individual lobules of the adult mouse cerebellum. more..	Homo sapiens; Mus musculus	NA	NA	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165371/	BRAIN						Transcriptomic atlas of mouse cerebellar cortex
GSE159812	Broad transcriptional dysregulation of brain and choroid plexus cell types with COVID-19	(Submitter supplied) Here, we profile 65,309 droplet-based single-nucleus transcriptomes from the frontal cortex and choroid plexus across 13 non-viral, 8 COVID-19, and an influenza patient. We find that all major cortex parenchymal and choroid plexus cell types are affected transcriptionally by COVID-19. This arises, in part, from SARS-CoV-2 infection of the cortical brain vasculature, meninges, and choroid plexus, resulting in increased inflammatory signaling to the brain. more..	Homo sapiens	30	GPL24676	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159812/	BRAIN	COVID19	NA	NA	NA	NA	NA
GSE20568	Genes associated with alcohol abuse and nicotine addiction in the human nucleus accumbens	(Submitter supplied) Background:  The incidence of alcohol and tobacco co-abuse is as high as 80%.  The molecular mechanism underlying this comorbidity is virtually unknown but interactions between these drugs have important implications for the development of, and recovery from drug dependence.  Methods:  We investigated the effects of chronic tobacco and alcohol abuse and the interaction of the two behaviours on global gene expression in the human nucleus accumbens using cDNA microarrays and 20 alcoholic and control cases, with and without smoking comorbidity. more..	Homo sapiens	20	GPL10117	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20568/	BRAIN	TABACOO_ALCOHOL	CONTROL	NA	20	NO	
GSE73395	BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Basal Cells (IV)	(Submitter supplied) Background: We got interested whether genes of airway basal cells  are enriched in COPD.  Methods: Bronchoscopy with bronchial brushes and bronchoalveolar lavage was performed in 28 patients with COPD and 29 healthy donors and isolated BAL cells.Transcriptome of BAL cells were studied by using Affymetrix Human Genome U133 Plus 2.0 array on an Affymetrix platform. Microarray data were normalized data were imported, log2-transformed and quantile normalized using robust multi-array average (RMA). more..	Homo sapiens	57	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73395/	Bronchoalveolar lavage	COPD	CONTROL	29	28	NA	
GSE47929	Gene expression profiles of Siglec-14/THP-1 and Siglec-5/THP cell lines, with or without NTHi stimulation	(Submitter supplied) Acquisition of a new strain of non-typeable Haemophilus influenzae (NTHi) is often associated with exacerbation of chronic obstructive pulmonary disease (COPD). We have previously reported that COPD patients who are homozygous null for SIGLEC14 gene is less susceptible to COPD exacerbation than those who have wild-type allele with functional SIGLEC14 gene. In order to gain insight into the mechanism behind the COPD exacerbation, and to find new clues that may lead to the discovery of objective biomarker of COPD exacerbation, Siglec-14/THP-1 and Siglec-5/THP-1 cell lines, which mimic monocytes from homozygous wild-type and homozygous SIGLEC14-null person, respectively, were incubated with or without NTHi, and their gene expression profiles were compared by using Affymetrix Human Genome U133 Plus 2.0 Array	Homo sapiens	4	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47929/	CELL_LINE	COPD	NA	NA	4	YES: NTHi stimulation	
GSE143132	long read RNA-seq from mucosa of descending colon (ENCSR803XXZ)	(Submitter supplied) ENC4_78 W80 mucosa of descending colon  For data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf	Homo sapiens	NA	NA	GTF, TSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143132/	COLON	NA	NA	NA	NA	NA	ENCODE
GSE26296	Genome-wide analysis of lung myeloid dendritic cells gene expression from healthy or emphysema subjects	(Submitter supplied) Lung myeloid dendritic cells isolated from emphysema but not healthy subjects induce Th1 and Th17 cells differentiation. The goal of this study is to identify the genes differentially expressed by lung myeloid dendritic cells from healthy or emphysema subjects. These genes may play crucial roles in directing Th1 and Th17 cells differentiation	Homo sapiens	6	GPL6884	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26296/	DENDRITIC_CELLS	EMPHYSEMA	CONTROL	3	3	NO	
GSE475	Chronic obstructive pulmonary disease	(Submitter supplied) Diaphragm muscles in Chronic Obstructive Pulmonary Disease (COPD) patients undergo an adaptive fast to slow transformation that includes cellular adaptations. This project studies the signaling mechanisms responsible for this transformation. Keywords: other	Homo sapiens	7	GPL96	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE475/	DIAPHRAGM_MUSCLE	COPD	CONTROL	3	4	NO	
GSE150946	The delivery of alpha1-antitrypsin therapy through transdermal route: is this worse to explore?	(Submitter supplied) Human α1-antitrypsin (AAT) is an abundant acute phase glycoprotein performing anti-protease, anti-apoptotic and immunomodulatory functions. Purified human plasma AAT used as a specific therapy for patients with lung emphysema and panniculitis due to inherited AAT deficiency, and it is beneficial in treating of other disorders. This therapy administered intravenously although other routes of administration are tested. more..	Homo sapiens	4	GPL18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150946/	ePICS	NA	NA	NA	NA	 Yes; AAT treatment	NA
GSE155588	Canonical WNT pathway is activated in the airway epithelium in chronic obstructive pulmonary disease	(Submitter supplied) We report that the canonical WNT pathway is upregulated in the proximal epithelium of patients with chronic obstructive pulmonary disease. Our data were obtained by using redifferentiated airway epithelium in air/liquid interface, and sequencing the transcriptional activity of components of the WNT signalling pathway	Homo sapiens	47	GPL15520	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155588/	EPITHELIUM	COPD	NA	NA	NA	NA	NA
GSE152446	Cigarette Smoke Activates NOTCH3 to Promote Goblet Cell Differentiation in Human Airway Epithelial Cells	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is the 3rd leading cause of death in the United States and is caused primarily by cigarette smoking. Increased numbers of mucus-producing secretory (“goblet”) cells defined as goblet cell metaplasia or hyperplasia (GCMH), contributes significantly to COPD pathophysiology. The objective of this study was to determine whether NOTCH signaling regulates goblet cell differentiation in response to cigarette smoke. more..	Homo sapiens	16	GPL18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152446/	EPITHELIUM	COPD	NA	NA	NA	NA	NA
GSE20250	CNV Polymorphisms Modulate the Expression of GST Subtypes in the Human Small Airway Epithelium and Alveolar Macrophages	(Submitter supplied) The glutathione S-transferase (GST) gene family codes for enzymes that detoxify xenobiotics by catalyzing the conjugation of xenobiotics to glutathione. Based on reports that inherited copy number variations (CNV) in the genome modulate some GST expression levels and with the knowledge that cigarette smoke contains >3000 xenobiotics, and that the small airway epithelium and alveolar macrophages are involved early in the pathogensis of smoking-induced lung disease, we asked: do germline CNVs modulate GST expression level in the small airway epithelium and alveolar macrophages? Affymetrix HG U133 Plus 2.0 microarrays were used to survey GST gene expression in the small airway epithelium and alveolar macrophages obtained by bronchoscopic brushings from current smokers (n=35) and nonsmokers (n=35). more..	Homo sapiens	NA	NA	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20250/	EPITHELIUM	NA	CONTROL	NA	211	NA	Smokers and nonsmokers
GSE108134	Ambient Pollution Related Reprogramming of the Human Small Airway Epithelial Transcriptome	(Submitter supplied) Epidemiological studies have demonstrated that exposure to particulate matter (PM) ambient pollution has adverse effects on lung health, exacerbated by cigarette smoking. Fine airborne particles <2.5 µm (PM2.5) are the most harmful of the urban pollutants, and the most closely linked to respiratory disease. Based on the knowledge that the small airway epithelium (SAE) plays a central role in pathogenesis of smoking-related lung disease, we hypothesized that elevated PM2.5 levels are associated with dysregulation of SAE gene expression	Homo sapiens	405	GPL570	CEL, CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108134/	EPITHELIUM	NA	CONTROL	NA	405	NA	Compare the ambient pollution reprogramming epithelium in smokers and non smokers
GSE86064	Mandatory Role of HMGA1 in Human Airway Epithelial Normal Differentiation and Post-injury Regeneration	(Submitter supplied) Background: High mobility group AT-hook1 (HMGA1) is essential for airway basal cell mucociliary differentiation, barrier integrity and wound repair.  HMGA1 expression suppresses the abnormal basal cell differentiation to squamous, inflammatory and epithelial-mesenchymal transition phenotype commonly observed in association with cigarette smoking and chronic obstructive pulmonary disease (COPD). Results: HMGA1 knockdown experiments indicate that when HMGA1 expression is suppressed, the airway basal cells cannot normally differentiate into a mucociliary epithelium, form an intact barrier, and repair following injury. more..	Homo sapiens	77	GPL16791	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86064/	EPITHELIUM	COPD	CONTROL	NA	77	NA	Role of HMGA1 in normal epithelium and post-injury regeneration
