Accession	Description.x	Extended.Description.x	Organism	No..Samples.x	Platform.x	GEO.SRA.x	FTP.x	SampleType.y	Disease.y	INCLUDED	REASON	Additional_treatment	Note
GSE30027	Human lung CD8+ T cells compared with paired non-naive peripheral blood CD8+ T cells	(Submitter supplied) It is unknown whether human lung T cells recirculate or belong to a distinct tissue-specific population. This issue is important for understanding their role in protection against viral infection and their contribution to pathophysiology of lung diseases such as chronic obstructive pulmonary disease. By comparing transcriptional profiles of blood and lung CD8+ T cells, we aimed to reveal specific traits of lung CD8+ T cells	Homo sapiens	12	GPL6947	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30027/	BLOOD_TISSUE	COPD	NO 	NO WHOLE BLOOD	NO	
GSE55962	Systemic inflammatory response to smoking in chronic obstructive pulmonary disease: evidence of a gender effect	(Submitter supplied) We analyzed total leukocyte gene expression using Affymetrix microarrays from healthy smokers, COPD patients and non-smoking control subjects before and after exposure to acute cigarette smoke (smoking two cigarettes in 30 minutes)	Homo sapiens	106	GPL13667	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55962/	BLOOD	COPD	NO 	NO WHOLE BLOOD	NO	
GSE56767	Isolated Blood Immune Cell Transcriptomics in COPD	(Submitter supplied) We observed separation of COPD patients from control smokers by CD4+ T cell transcriptomics.   In contrast to CD4+ T cells, there were no transcript differences in whole blood, CD8+ T cells or  CD14+ monocytes	Homo sapiens	229	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56767/	BLOOD	COPD	NO 	NO WHOLE BLOOD	NO	
GSE54837	Altered gene expression in blood and sputum from COPD patients with frequent exacerbations	(Submitter supplied) Investigation of gene expression profiles among patients with COPD frequent exacerbations and to find gene targets as predictors of exacerbations	Homo sapiens	226	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54837/	BLOOD	COPD	NO 	NO CONTROLS	NO	
GSE56768	Whole blood and isolated blood cell transcriptomics in COPD	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	435	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56768/	BLOOD	COPD	NO 	IT IS A SUPER SERIE, USING GSE56766	NO	
GSE77344	Gene expression in chronic obstructive pulmonary disease (COPD) patients	(Submitter supplied) Measuring genome-wide changes in transcript abundance in circulating peripheral whole blood cells is a useful way to study disease pathobiology and may help elucidate biomarkers and molecular mechanisms of disease. The sensitivity and interpretability of analyses carried out in this complex tissue, however, are significantly affected by its heterogeneity. It is therefore desirable to quantify this heterogeneity, either to account for it or to better model interactions that may be present between the abundance of certain transcripts, some cell types and some indication. more..	Homo sapiens	172	GPL11532	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77344/	BLOOD_TISSUE	COPD	NO 	NO CONTROLS	NO	
GSE34562	IL-6R identifies early differentiated human effector memory CD8+ T cells that potently expand and produce IL-2 and IL-13	(Submitter supplied) We found a unique subset of effector memory (EM) CD8+ T cells that expressed high levels of IL-6 receptor in human peripheral blood.  These cells which also expressed high levels of IL-7Ra (referred to as IL-6R high IL-7Rahigh cells) had the a distinct gene expression profile and cellular characteristics compared to other EM CD8+ T cells.  IL-6R high IL-7Ra high cells were early differentiated EM CD8+ T cells with decreased expression of T-bet, KLRG1, perforin and granzyme B. more..	Homo sapiens	6	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34562/	BLOOD	COPD_ASTHMA	NO 	IT IS NOT COPD	NO	
GSE60399	Expression analysis of stable chronic obstructive pulmonary disease and acute exacerbation of chronic obstructive pulmonary disease	(Submitter supplied) Investigation of whole genome gene expression level changes of the dynamic gene profiling of peripheral blood mononuclear cells (PBMCs) from patients with AECOPD) on day1, 3 and 10, compared to the normal people and stable COPD patients	Homo sapiens	5	GPL18451	CALLS, PAIR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60399/	BLOOD	COPD	NO 	IT IS POOLED SAMPLES	NO	
GSE69557	CD34+DNAMbrightCXCR4+ CLP mobilized in chronic inflammation	(Submitter supplied) During the course of many chronic inflammatory disorders, a persistent Natural Killer (NK) cell derangement and activation is observed. While increased cell turnover is expected in these cases, little is known about whether and how NK cell homeostatic balance and numbers are maintained by CD34+ progenitor cells. Accordingly, we studied peripheral blood progenitor cells in patients with chronic inflammatory disorders including HIV-1, HCV, TB, COPD and PAPA. more..	Homo sapiens	4	GPL6244	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69557/	BLOOD	COPD	NO 	IT IS NOT COPD	NO	
GSE76403	Circulating leukocyte transcriptional signatures in HIV patients with impaired gas exchange	(Submitter supplied) Background: HIV infection is associated with impaired gas transfer in the lung as indicated by a low diffusing capacity (DLCO). Mechanisms for reduced DLCO in the setting of HIV infection are not well understood. We hypothesized that HIV-associated gas exchange impairment is indicative of system-wide perturbations that could be reflected by alterations in peripheral blood gene expression.  Methods: A total of 40 HIV-infected (HIV+) and uninfected (HIV-) men with preserved versus reduced DLCO were selected from a larger cohort study of lung function. more..	Homo sapiens	39	GPL15207	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76403/	BLOOD	HIV	NO 	IT IS NOT COPD	NO	Low DLCO
GSE119314	Azithromycin treatment modifies airway and blood gene expression networks in neutrophilic COPD	(Submitter supplied) Long-term, low dose azithromycin reduces exacerbation frequency in COPD yet the mechanism remains unclear. This study characterises changes to gene expression in  patients with neutrophilic COPD in response to long term low dose azithromycin therapy. Patients with neutrophilic COPD (>61% or >162x10^4/mL sputum neutrophils) were randomised to 12 weeks of either azithromycin or placebo treatment. RNA was extracted from sputum and blood collected before (pre) and after (post) treatment	Homo sapiens	92	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119314/	BLOOD_SPUTUM	COPD	NO 	NO CONTROLS	Yes: azithromycin	
GSE16972	COPD-Specific Gene Expression Signatures of Alveolar Macrophages as well as Peripheral Blood Monocytes Overlap and Correlate with Lung Function	(Submitter supplied) Rationale: Chronic Obstructive Pulmonary Disease (COPD) is considered a chronic inflammatory disease characterized by progressive airflow limitation and also has significant extrapulmonary (systemic) effects that lead to comorbid conditions. Very little is known about the pathomechanism of the disease.  Objectives: Among inflammatory cell types, alveolar macrophages appear to have a key role in initiating and/or sustaining disease progression. more..	Homo sapiens	12	GPL96	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16972/	BLOOD	COPD	NO 	NO WHOLE BLOOD	YES: CD14+ magnetic beads	
GSE133513	Sputum and blood transcriptomics characterization of the PDE4 inhibitor CHF6001 in COPD	(Submitter supplied) The aim of the present study was to characterize the gene expression profile of the phosphodiesterase-4 inhibitor CHF6001 on top of inhaled triple therapy in sputum cells and whole blood of chronic bronchitis patients.  Samples for analyses were collected from a multicenter, three-period, three-way, placebo-controlled, double-blind, complete block crossover study. Eligible patients underwent three, 32-day treatment periods during which they received CHF6001 800 or 1600 µg twice daily (total daily doses of 1600 or 3200 µg) or matching placebo, all via multi-dose dry-powder inhaler (NEXThaler). more..	Homo sapiens	495	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133513/	BLOOD_SPUTUM	BRONCHITIS_COPD	NO 	NO CONTROLS	Yes: inhaled PDE4-Inhibition CHF6001 800 or 1600 µg twice daily on top of triple therapy or placibo	54 patients before and after during 32 days of treatment
GSE111790	Genomics and response to long-term oxygen therapy in chronic obstructive pulmonary disease	(Submitter supplied) Longitudinal transcriptome analysis for invsetigation of the effect of long-term oxygen therapy in COPD	Homo sapiens	51	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111790/	BLOOD	COPD	NO 	IT IS COPD vs TREATMENT	Yes: oxygen	
GSE53543	Gene expression data from uninfected and rhinovirus-infected peripheral blood mononuclear cells from 98 individuals	(Submitter supplied) Rhinovirus (RV) is the most prevalent human respiratory virus. Each year, RV infects billions of people and is responsible for at least half of all common colds, the most common illness of humans. RV infection also affects the morbidity of a range of respiratory illnesses, such as bronchiolitis, pneumonia, asthma, chronic obstructive pulmonary disease, and cystic fibrosis. Despite its biological importance and public health significance, little is known about the genetic architecture of response to RV. more..	Homo sapiens	196	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53543/	BLOOD	COPD_ASTHA_PNEUMONIA_BRONQUIOLITIS	NO 	IT IS NOT COPD	YES: Rhinovirus	
GSE71220	The effect of statins on blood gene expression in COPD	(Submitter supplied) Background: COPD is currently the fourth leading cause of death worldwide and predicted to rank third by 2020. Statins are commonly used lipid lowering agents with documented benefits on cardiovascular morbidity and mortality, and have also been shown to have pleiotropic effects including anti-inflammatory and anti-oxidant activity.   Objective: Identify a gene signature associated with statin use in the blood of COPD patients, and identify molecular mechanisms and pathways underpinning this signature that could explain any potential benefits in COPD. more..	Homo sapiens	617	GPL11532	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71220/	BLOOD	COPD	NO 	NO CONTROLS	YES: Statins	
GSE100150	A Transcriptome Fingerprinting Assay for Clinical Immune Monitoring	(Submitter supplied) Development of a cost-effective and practical targeted transcriptional fingerprinting assay (TFA) for monitoring a diverse repertoire of immune responses identified in the human blood transcriptome relying on a modular transcriptional repertoire built on the basis of variations in transcript abundance measured on a genome wide scale in the blood of nearly 1000 subjects across 16 immunologic conditions	Homo sapiens	985	GPL6884	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100150/	BLOOD	COPD_OTHERS	NO 	IT IS A SUPERSERIE		
